;SIMULATION DB;12/4/2019;;;1. Lampost;1. Lampost;2. Lighting ;2. Lighting ;3. Energy ;3. Energy ;3. Energy ;4. Public Safety ;4. Public Safety ;4. Public Safety ;5. Environmental Monitoring ;5. Environmental Monitoring ;5. Environmental Monitoring ;6. Signage ;7. Movement Monitoring ;7. Movement Monitoring ;8. Connectivity ;8. Connectivity ;8. Connectivity ;;
62;2. Implementation;2.2 Unit;Item 1;AlphaNum;Per streetlight pole;Per smart lamppost;Per LED light;Per software;Per EVSE Charging point;Per PV panel;Per battery & remote control;Per CCTV system;Per PTT;Per Public speakers;Per sensor;Per sensor;Per sensor;Per Advertising Panel;Per traffic monitoring sensor;Per sensor;Per Wifi antenna;Per antenna;Per 5G antenna;;
63;2. Implementation;2.3 Ratio # Units / Measure;Item 1;Num #;1;1;1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
64;2. Implementation;2.2 Implementation cost per Unit - Min;Item 1;£;1200;26;160;25 000;1000;600;310;280;1700;150;310;155;500;170;260;310;300;400;400;;
65;2. Implementation;2.3 Implementation cost per Unit   - Max;Item 1;£;2300;87;240;85 000;1600;1200;570;400;3900;280;750;375;1500;200;1300;625;380;800;800;;
66;2. Implementation;2.5 Source 1;Item 1;AlphaNum;https://www.ledsmaster.com/channel/How-Much-Do-Street-Lights-Cost-Replacing-and-Running-the-Street-Lamp--77.html;Internal research;https://www.myledlightingguide.com/blog-the-cost-of-street-lights;"http://qulon.pro
";"https://www.ubitricity.co.uk/unternehmen/newsroom/simple-conversion-turn-street-lamps-electric-car-chargers-daily-mail/
";"https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/
";"https://www.energysage.com/solar/solar-energy-storage/what-do-solar-batteries-cost/
";https://www.fixr.com/costs/install-video-surveillance-cameras;http://www.groundcontrol.com/Iridium_PTT_Push-To-Talk.htm;https://porch.com/project-cost/cost-to-install-outdoor-speakers;"https://www.london.gov.uk/what-we-do/environment/pollution-and-air-quality/monitoring-and-predicting-air-pollution
";Internal research;https://reliabilityweb.com/articles/entry/wireless_sensors_work_provide_a_cost-effective_alternative_to_traditio;https://just-print.co.uk/155-lamp-post-advertising-boards-24-x-16-50-pack.html;https://www.itscosts.its.dot.gov/ITS/benecost.nsf/ID/5A53F0D1919AA5EE8525798300819B6E?OpenDocument&Query=CApp;https://www.itscosts.its.dot.gov/its/benecost.nsf/0/E4717C6F075BAAA38525789B00610ECC?OpenDocument&Query=Home;https://its.umich.edu/projects/wifi-upgrade/project-funding;https://www.repeaterstore.com/pages/custom-solutions;https://www.ctia.org/news/what-is-a-small-cell;;
67;2. Implementation;2.6 Source 2;Item 1;AlphaNum;https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/;0;https://www.pennoni.com/insights/smart-lighting-streetlight-replacement-project-pays-for-itself/;https://www.bartlettinteractive.com/blog/cost-enterprise-CMS;" https://www.homeadvisor.com/cost/garages/install-an-electric-vehicle-charging-station/
";"https://info.lightinus.com/solar-street-lights#solar_street_light_applications
";https://www.solarlightsmanufacturer.com/how-to-install-solar-street-light/;https://reolink.com/security-camera-installation-cost/;https://www.rrmediagroup.com/repository/files/PTT8-17.pdf;https://www.homewyse.com/services/cost_to_install_outdoor_speakers.html;"https://www.cs.virginia.edu/~bjc8c/class/cs6501-f17/devarakonda13airquality.pdf
";0;http://advantech-bb.com/sensor-networking-cost-model/;https://www.hastings.gov.uk/press_media/advertising/lamppostbanners/;http://www.itsinternational.com/sections/cost-benefit-analysis/features/wavetronix-radar-based-traffic-sensor-cuts-costs/;https://www.popularmechanics.com/technology/gadgets/a6528/smart-parking-systems-steer-drivers-to-open-spaces/;https://www.installationsathome.co.uk/wifi-installation-prices.html;https://www.rcrwireless.com/20160411/network-infrastructure/will-small-cells-replace-das-can-das-reinvent-tag17-tag99;Internal research;;
68;2. Implementation;2.7 Source 3;Item 1;AlphaNum;0;0;0;"https://www.citintelly.com/intelligent-street-lighting-products/street-lighting-control-system/
";0;0;0;https://www.fixr.com/costs/install-video-surveillance-cameras;0;https://hipages.com.au/article/how_much_does_it_cost_to_install_outdoor_lighting;0;0;0;0;0;0;0;http://www.stjohnpatrick.com/12/ec/2Small-Cells-DAS.pdf;0;;
69;2. Implementation;2.8 Source 1 - Short;Item 1;AlphaNum;https://www.ledsmaster.com;Internal research;https://www.myledlightingguide.com/;http://qulon.pro;https://www.ubitricity.co.uk/;https://www.streetlights-solar.com/;https://www.energysage.com/;https://www.fixr.com/;http://www.groundcontrol.com/;https://porch.com/;https://www.london.gov.uk/;Internal research;https://reliabilityweb.com/;https://just-print.co.uk/;https://www.itscosts.its.dot.gov/;https://www.itscosts.its.dot.gov/;https://its.umich.edu/;https://www.repeaterstore.com/;https://www.ctia.org;;
70;2. Implementation;2.9 Source 2 - Short;Item 1;AlphaNum;https://www.streetlights-solar.com/;0;https://www.pennoni.com/;https://www.bartlettinteractive.com/;https://www.homeadvisor.com/;https://info.lightinus.com/;https://www.solarlightsmanufacturer.com/;https://reolink.com/;https://www.rrmediagroup.com/;https://www.homewyse.com/;https://www.cs.virginia.edu;0;http://advantech-bb.com/;https://www.hastings.gov.uk/;http://www.itsinternational.com/;https://www.popularmechanics.com;https://www.installationsathome.co.uk/;https://www.rcrwireless.com/;Internal research;;
71;2. Implementation;2.91 Source 3 - Short;Item 1;AlphaNum;0;0;0;https://www.citintelly.com/;0;0;0;https://www.fixr.com/;0;https://hipages.com.au/;0;0;0;0;0;0;0;http://www.stjohnpatrick.com/;0;;
72;2. Implementation;2.1 Name;Item 2;AlphaNum;0;0;Electrical systems;Control boxes implementation;Installation of the wall connector;Installation of the battery &remote control;0;0;0;0;Software installation;Software installation;Software installation;0;Software installation;Installation of the software;0;0;0;;
73;2. Implementation;2.2 Unit;Item 2;AlphaNum;0;0;Per cabling system;Per sensor;Per connector;Per battery & remote control;0;0;0;0;Per software;Per software;Per software;0;Per software;Per gateway;0;0;0;;
74;2. Implementation;2.3 Ratio # Units / Measure;Item 2;Num #;0;0;1;1;0,01;0,1;0;0;0;0;NA;NA;NA;0;NA;0,1;0;0;0;;
75;2. Implementation;2.2 Implementation cost per Unit - Min;Item 2;£;0;0;38;80;380;310;0;0;0;0;1000;1000;1000;0;640;210;0;0;0;;
76;2. Implementation;2.3 Implementation cost per Unit   - Max;Item 2;£;0;0;90;170;440;570;0;0;0;0;1120;1120;1120;0;1900;835;0;0;0;;
77;2. Implementation;2.5 Source 1;Item 2;AlphaNum;0;0;https://blog.lightinus.com/comparing-traditional-street-lights-and-solar-energy-lights;https://www.homeadvisor.com/cost/electrical/upgrade-an-electrical-panel/;https://www.homeadvisor.com/cost/garages/install-an-electric-vehicle-charging-station/;"https://www.energysage.com/solar/solar-energy-storage/what-do-solar-batteries-cost/
";0;0;0;0;Internal research;Internal research;Internal research;0;https://www.researchgate.net/publication/280078500_Intelligent_Traffic_Monitoring_System;https://www.itscosts.its.dot.gov/ITS/benecost.nsf/ID/F1112FA098133F3C85256DB100458923?OpenDocument&Query=CApp;0;0;0;;
78;2. Implementation;2.6 Source 2;Item 2;AlphaNum;0;0;https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/;https://www.thumbtack.com/p/fuse-box-installation-cost;https://www.ohmhomenow.com/electric-vehicles/ev-charging-station-cost/;https://www.solarlightsmanufacturer.com/how-to-install-solar-street-light/;0;0;0;0;https://reliabilityweb.com/articles/entry/wireless_sensors_work_provide_a_cost-effective_alternative_to_traditio;https://reliabilityweb.com/articles/entry/wireless_sensors_work_provide_a_cost-effective_alternative_to_traditio;https://reliabilityweb.com/articles/entry/wireless_sensors_work_provide_a_cost-effective_alternative_to_traditio;0;https://blog.capterra.com/how-much-does-network-monitoring-software-cost/;https://sensorcloud.com/pricing;0;0;0;;
79;2. Implementation;2.7 Source 3;Item 2;AlphaNum;0;0;0;0;0;0;0;0;0;0;http://advantech-bb.com/sensor-networking-cost-model/;http://advantech-bb.com/sensor-networking-cost-model/;http://advantech-bb.com/sensor-networking-cost-model/;0;0;https://www.paessler.com/prtg/pricing;0;0;0;;
80;2. Implementation;2.8 Source 1 - Short;Item 2;AlphaNum;0;0;https://blog.lightinus.com/;https://www.homeadvisor.com/;https://www.homeadvisor.com/;https://www.energysage.com/;0;0;0;0;Internal research;Internal research;Internal research;0;https://www.researchgate.net/;https://www.itscosts.its.dot.gov/;0;0;0;;
81;2. Implementation;2.9 Source 2 - Short;Item 2;AlphaNum;0;0;https://www.streetlights-solar.com/;https://www.thumbtack.com/;https://www.ohmhomenow.com/;https://www.solarlightsmanufacturer.com/;0;0;0;0;https://reliabilityweb.com/;https://reliabilityweb.com/;https://reliabilityweb.com/;0;https://blog.capterra.com/;https://sensorcloud.com/;0;0;0;;
82;2. Implementation;2.91 Source 3 - Short;Item 2;AlphaNum;0;0;0;0;0;0;0;0;0;0;http://advantech-bb.com/;http://advantech-bb.com/;http://advantech-bb.com/;0;0;https://www.paessler.com/;0;0;0;;
83;2. Implementation;2.1 Name;Item 3;AlphaNum;0;0;0;Gateway implementation;0;0;0;0;0;0;0;0;0;0;0;Installation of the local parking guidance system ;0;0;0;;
84;2. Implementation;2.2 Unit;Item 3;AlphaNum;0;0;0;Per gateway;0;0;0;0;0;0;0;0;0;0;0;Per guidance system;0;0;0;;
85;2. Implementation;2.3 Ratio # Units / Measure;Item 3;Num #;0;0;0;0,0010;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;;
86;2. Implementation;2.2 Implementation cost per Unit - Min;Item 3;£;0;0;0;7100;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;;
87;2. Implementation;2.3 Implementation cost per Unit   - Max;Item 3;£;0;0;0;22000;0;0;0;0;0;0;0;0;0;0;0;385;0;0;0;;
88;2. Implementation;2.5 Source 1;Item 3;AlphaNum;0;0;0;http://democracy.cityoflondon.gov.uk/documents/s63133/Street%20Lighting%20Review%20G3-4%20Report%20-%20Final.pdf;0;0;0;0;0;0;0;0;0;0;0;Internal research;0;0;0;;
89;2. Implementation;2.6 Source 2;Item 3;AlphaNum;0;0;0;http://rondstech.com/product/street-light-control-systems-with-smart-gateway/;0;0;0;0;0;0;0;0;0;0;0;https://www.itscosts.its.dot.gov/ITS/benecost.nsf/ID/F1112FA098133F3C85256DB100458923?OpenDocument&Query=CApp;0;0;0;;
90;2. Implementation;2.7 Source 3;Item 3;AlphaNum;0;0;0;Internal research;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
91;2. Implementation;2.8 Source 1 - Short;Item 3;AlphaNum;0;0;0;http://democracy.cityoflondon.gov.uk/;0;0;0;0;0;0;0;0;0;0;0;Internal research;0;0;0;;
92;2. Implementation;2.9 Source 2 - Short;Item 3;AlphaNum;0;0;0;http://rondstech.com/;0;0;0;0;0;0;0;0;0;0;0;https://www.itscosts.its.dot.gov/;0;0;0;;
93;2. Implementation;2.91 Source 3 - Short;Item 3;AlphaNum;0;0;0;Internal research;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
94;2. Implementation;2.1 Name;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
95;2. Implementation;2.2 Unit;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
96;2. Implementation;2.3 Ratio # Units / Measure;Item 4;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
97;2. Implementation;2.2 Implementation cost per Unit - Min;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
98;2. Implementation;2.3 Implementation cost per Unit   - Max;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
99;2. Implementation;2.5 Source 1;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
100;2. Implementation;2.6 Source 2;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
101;2. Implementation;2.7 Source 3;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
102;2. Implementation;2.8 Source 1 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
103;2. Implementation;2.9 Source 2 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
104;2. Implementation;2.91 Source 3 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
105;2. Implementation;2.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
106;2. Implementation;2.2 Unit;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
107;2. Implementation;2.3 Ratio # Units / Measure;Item 5;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
108;2. Implementation;2.2 Implementation cost per Unit - Min;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
109;2. Implementation;2.3 Implementation cost per Unit   - Max;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
110;2. Implementation;2.5 Source 1;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
111;2. Implementation;2.6 Source 2;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
112;2. Implementation;2.7 Source 3;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
113;2. Implementation;2.8 Source 1 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
114;2. Implementation;2.9 Source 2 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
115;2. Implementation;2.91 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
116;3. Opex;3.1 Name;Item 1;AlphaNum;Maintenance of the pole;Maintenance of smart lamppost;Maintenance of LED Bulb and electric system;Maintenance of the control boxes;Maintenance of the EV charging point;Maintenance of the PV panel;Maintenance of the battery &remote control;Maintenance of the CCTV monitor;Maintenance of the PTT device;Maintenance of the public speakers;Maintenance of the Air Quality Sensor;Maintenance of the noise sensor;Maintenance of the water level sensor;Maintenance of the banner;Maintenance of the sensor;Maintenance of the sensor;Maintenance of the sensor;Maintenance of the Antenna;Maintenance of the Antenna;;
117;3. Opex;3.2 Unit;Item 1;AlphaNum;Per Pole;Per smart Lampost;Per LED light;Per sensor;Per charging point;Per PV panel;Per battery;Per CCTV;Per PTT device;Per public speakers;Per sensor;Per sensor;Per sensor;Per banner;Per traffic sensor;Per sensor;Per Wifi sensor;Per Antennas;Per 5G antenna;;
118;3. Opex;3.3 Ratio # Units / Measure;Item 1;Num #;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
119;3. Opex;3.4 Monthly Cost / Unit - Min;Item 1;£;5;8;3;6;7;9;6;2;4;1;3;3;3;5;90;5;4;5;5;;
120;3. Opex;3.5 Monthly Cost / Unit - Max;Item 1;£;15;23;4;12;20;11;11;5;25;3;4;4;4;8;290;8;5;10;10;;
121;3. Opex;3.6  Source 1;Item 1;AlphaNum;https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/;Internal research;http://www.nyc.gov/html/dot/html/infrastructure/streetlights.shtml;Internal research;"https://www.ohmhomenow.com/electric-vehicles/ev-charging-station-cost/
";https://info.lightinus.com/solar-street-lights#solar_street_light_applications;Internal research;Internal research;Internal research;Internal research;Internal research;Internal research;Internal research;Internal research;https://www.quora.com/What-are-typical-maintenance-fees-as-a-percentage-of-up-front-license-costs-for-enterprise-software;Internal research;Internal research;Internal research;Internal research;;
122;3. Opex;3.7 Source 2;Item 1;AlphaNum;Internal research;0;http://mallatite.co.uk/street-lighting/retrofit-led-street-lamps/;https://www.homeadvisor.com/cost/electrical/upgrade-an-electrical-panel/;"https://www.reminetwork.com/articles/the-benefits-of-ev-charging-stations/
";https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/;0;0;0;0;0;0;0;0;https://galorath.com;https://www.nwave.io/smart-parking-sensor/;0;0;0;;
123;3. Opex;3.8 Source 3;Item 1;AlphaNum;0;0;0;https://www.thumbtack.com/p/fuse-box-installation-cost;"http://tompkinscountyny.gov/files2/itctc/projects/EV/Tompkins%20EVSE%20Installation%20Analysis%20FINAL.pdf
";0;0;0;0;0;0;0;0;0;http://www.itsinternational.com/sections/cost-benefit-analysis/features/wavetronix-radar-based-traffic-sensor-cuts-costs/;https://www.researchgate.net/publication/280213474_How_Much_Can_a_Smart_Parking_System_Save_You;0;0;0;;
124;3. Opex;3.9 Source 1 - Short;Item 1;AlphaNum;https://www.streetlights-solar.com;Internal research;http://www.nyc.gov/;Internal research;https://www.ohmhomenow.com/;https://info.lightinus.com/;Internal research;Internal research;Internal research;Internal research;Internal research;Internal research;Internal research;Internal research;https://www.quora.com/;Internal research;Internal research;Internal research;Internal research;;
125;3. Opex;3.91 Source 2 - Short;Item 1;AlphaNum;Internal research;0;http://mallatite.co.uk/;https://www.homeadvisor.com/;https://www.reminetwork.com/;https://www.streetlights-solar.com/;0;0;0;0;0;0;0;0;https://galorath.com;https://www.nwave.io/;0;0;0;;
126;3. Opex;3.92 Source 3 - Short;Item 1;AlphaNum;0;0;0;https://www.thumbtack.com/;http://tompkinscountyny.gov/;0;0;0;0;0;0;0;0;0;http://www.itsinternational.com/;https://www.researchgate.net/;0;0;0;;
127;3. Opex;3.1 Name;Item 2;AlphaNum;0;0;Maintenance of the Electrical systems;Software maintenance;Data and transactions run costs ;Maintenance of the battery & remote control;0;Maintenance of the CCTV camera;0;0;Maintenance of the software;Maintenance of the software;Maintenance of the software;0;Maintenance of the software;Maintenance of the Data collector;0;0;0;;
128;3. Opex;3.2 Unit;Item 2;AlphaNum;0;0;Per cabling system;Per software;Per charging point;Per battery;0;Per CCTV camera;0;0;Per software;Per software;Per Software;0;Per software;Per gateway;0;0;0;;
129;3. Opex;3.3 Ratio # Units / Measure;Item 2;Num #;0;0;1;NA;0;0,1;0;0,05;0;0;NA;NA;NA;0;0,2;0,1;0;0;0;;
130;3. Opex;3.4 Monthly Cost / Unit - Min;Item 2;£;0;0;3;312;20;4;0;6;0;0;14;14;14;0;8;7;0;0;0;;
131;3. Opex;3.5 Monthly Cost / Unit - Max;Item 2;£;0;0;7;1062;25;8;0;19;0;0;64;64;64;0;24;11;0;0;0;;
132;3. Opex;3.6  Source 1;Item 2;AlphaNum;0;0;Internal research;Internal research;"https://www.preciseparklink.com/news/top-10-benefits-of-installing-ev-chargers-in-ontario
";Internal research;0;https://www.thumbtack.com/p/security-camera-installation-cost;0;0;Internal research;Internal research;Internal research;0;https://blog.capterra.com/how-much-does-network-monitoring-software-cost/;Internal research;0;0;0;;
133;3. Opex;3.7 Source 2;Item 2;AlphaNum;0;0;https://blog.lightinus.com/comparing-traditional-street-lights-and-solar-energy-lights;0;"http://tompkinscountyny.gov/files2/itctc/projects/EV/Tompkins%20EVSE%20Installation%20Analysis%20FINAL.pdf
";0;0;Internal research;0;0;http://advantech-bb.com/sensor-networking-cost-model/;http://advantech-bb.com/sensor-networking-cost-model/;http://advantech-bb.com/sensor-networking-cost-model/;0;Internal research;https://sensorcloud.com/pricing;0;0;0;;
134;3. Opex;3.8 Source 3;Item 2;AlphaNum;0;0;https://www.streetlights-solar.com/2018/07/19/cost-comparison-between-solar-vs-traditional-lights/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
135;3. Opex;3.9 Source 1 - Short;Item 2;AlphaNum;0;0;Internal research;Internal research;https://www.preciseparklink.com/;Internal research;0;https://www.thumbtack.com/;0;0;Internal research;Internal research;Internal research;0;https://blog.capterra.com/;Internal research;0;0;0;;
136;3. Opex;3.91 Source 2 - Short;Item 2;AlphaNum;0;0;https://blog.lightinus.com/;0;http://tompkinscountyny.gov/;0;0;Internal research;0;0;http://advantech-bb.com/;http://advantech-bb.com/;http://advantech-bb.com/;0;Internal research;https://sensorcloud.com/;0;0;0;;
137;3. Opex;3.92 Source 3 - Short;Item 2;AlphaNum;0;0;https://www.streetlights-solar.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
138;3. Opex;3.1 Name;Item 3;AlphaNum;0;0;0;Maintenance of the box gateway;Electricity cost;0;0;Maintenance of the DVR (Digital Video Recorder) and monitor;0;0;0;0;0;0;0;Maintenance of local parking guidance system ;0;0;0;;
139;3. Opex;3.2 Unit;Item 3;AlphaNum;0;0;0;Per gateway;Per EV charging point;0;0;Per DVR/NVR;0;0;0;0;0;0;0;Per guidance system;0;0;0;;
140;3. Opex;3.3 Ratio # Units / Measure;Item 3;Num #;0;0;0;0,0010;0;0;0;0,05;0;0;0;0;0;0;0;0,1;0;0;0;;
141;3. Opex;3.4 Monthly Cost / Unit - Min;Item 3;£;0;0;0;90;270;0;0;30;0;0;0;0;0;0;0;2;0;0;0;;
142;3. Opex;3.5 Monthly Cost / Unit - Max;Item 3;£;0;0;0;275;300;0;0;55;0;0;0;0;0;0;0;5;0;0;0;;
143;3. Opex;3.6  Source 1;Item 3;AlphaNum;0;0;0;http://democracy.cityoflondon.gov.uk/documents/s63133/Street%20Lighting%20Review%20G3-4%20Report%20-%20Final.pdf;"https://www.reminetwork.com/articles/the-benefits-of-ev-charging-stations/
";0;0;https://householdquotes.co.uk/cctv-installation/;0;0;0;0;0;0;0;Internal research;0;0;0;;
144;3. Opex;3.7 Source 2;Item 3;AlphaNum;0;0;0;Internal research;"https://www.ukpower.co.uk/home_energy/tariffs-per-unit-kwh
";0;0;https://www.fixr.com/costs/install-video-surveillance-cameras;0;0;0;0;0;0;0;https://www.itscosts.its.dot.gov/ITS/benecost.nsf/ID/F1112FA098133F3C85256DB100458923?OpenDocument&Query=CApp;0;0;0;;
145;3. Opex;3.8 Source 3;Item 3;AlphaNum;0;0;0;0;0;0;0;https://www.safehome.org/security-systems/adt/;0;0;0;0;0;0;0;0;0;0;0;;
146;3. Opex;3.9 Source 1 - Short;Item 3;AlphaNum;0;0;0;http://democracy.cityoflondon.gov.uk/;https://www.reminetwork.com/;0;0;https://householdquotes.co.uk/;0;0;0;0;0;0;0;Internal research;0;0;0;;
147;3. Opex;3.91 Source 2 - Short;Item 3;AlphaNum;0;0;0;Internal research;https://www.ukpower.co.uk/;0;0;https://www.fixr.com/;0;0;0;0;0;0;0;https://www.itscosts.its.dot.gov/;0;0;0;;
148;3. Opex;3.92 Source 3 - Short;Item 3;AlphaNum;0;0;0;0;0;0;0;https://www.safehome.org/;0;0;0;0;0;0;0;0;0;0;0;;
149;3. Opex;3.1 Name;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
150;3. Opex;3.2 Unit;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
151;3. Opex;3.3 Ratio # Units / Measure;Item 4;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
152;3. Opex;3.4 Monthly Cost / Unit - Min;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
153;3. Opex;3.5 Monthly Cost / Unit - Max;Item 4;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
154;3. Opex;3.6  Source 1;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
155;3. Opex;3.7 Source 2;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
156;3. Opex;3.8 Source 3;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
157;3. Opex;3.9 Source 1 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
158;3. Opex;3.91 Source 2 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
159;3. Opex;3.92 Source 3 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
160;3. Opex;3.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
161;3. Opex;3.2 Unit;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
162;3. Opex;3.3 Ratio # Units / Measure;Item 5;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
163;3. Opex;3.4 Monthly Cost / Unit - Min;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
164;3. Opex;3.5 Monthly Cost / Unit - Max;Item 5;£;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
165;3. Opex;3.6  Source 1;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
166;3. Opex;3.7 Source 2;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
167;3. Opex;3.8 Source 3;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
168;3. Opex;3.9 Source 1 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
169;3. Opex;3.91 Source 2 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
170;3. Opex;3.92 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
171;4. Revenues;4.1 Name;Item 1;AlphaNum;0;0;0;0;User fee - Membership card;0;0;0;0;0;0;0;0;Advertisement;0;0;Access to Wifi point;0;0;;
172;4. Revenues;4.2 Unit;Item 1;AlphaNum;0;0;0;0;Per user;0;0;0;0;0;0;0;0;Per  Banner;0;0;Per wifi access point;0;0;;
173;4. Revenues;4.3 Ratio # Units / Measure per month;Item 1;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;;
174;4. Revenues;4.4 Price per Unit - Min;Item 1;£;0;0;0;0;8;0;0;0;0;0;0;0;0;130;0;0;5,380;0;0;;
175;4. Revenues;4.5 Price per Unit - Max;Item 1;£;0;0;0;0;10;0;0;0;0;0;0;0;0;300;0;0;5,49;0;0;;
176;4. Revenues;4.6 Source 1;Item 1;AlphaNum;0;0;0;0;"https://www.preciseparklink.com/news/top-10-benefits-of-installing-ev-chargers-in-ontario
";0;0;0;0;0;0;0;0;https://www.hastings.gov.uk/press_media/advertising/lamppostbanners/;0;0;https://nypost.com/2018/05/01/nycs-free-public-wi-fi-kiosks-arent-making-enough-money/;0;0;;
177;4. Revenues;4.7 Source 2;Item 1;AlphaNum;0;0;0;0;"https://www.evgo.com/charging-plans/
";0;0;0;0;0;0;0;0;https://www.peterborough.gov.uk/business/commercial-information/advertising/;0;0;https://apolitical.co/solution_article/new-york-city-profit-500m-providing-free-public-wi-fi/;0;0;;
